model,HR@10,Recall@10,Precision@10,NDCG@10,catalog_coverage,eval_seconds
popularity,0.0114079020589872,0.0114079020589872,0.0011407902058987,0.0049858355855579,0.0035490035490035,2.9
item_item,0.0748469671675013,0.0748469671675013,0.0074846967167501,0.0497398789772285,0.8891618891618892,0.2
als,0.0144685587089593,0.0144685587089593,0.0014468558708959,0.0070052872046341,0.2457002457002457,1.1
rrf_hybrid,0.0651085141903172,0.0651085141903172,0.0065108514190317,0.042430163961088,0.6797706797706797,5.2
content_bge,0.0662214802448525,0.0662214802448525,0.0066221480244852,0.0427064378512912,0.8323778323778324,2.5
sasrec,0.0765164162493044,0.0765164162493044,0.0076516416249304,0.0505454824273222,0.8353808353808354,15.4
hybrid_rrf_weighted,0.1018363939899833,0.1018363939899833,0.0101836393989983,0.0641564590854691,0.8482118482118483,1.7
lgbm_ranker,0.0862548692264885,0.0862548692264885,0.0086254869226488,0.0568455609006389,0.8918918918918919,45.1
two_tower,0.06816917084028937,0.06816917084028937,0.006816917084028937,0.044506550448970776,0.9352989352989353,4.5
