system,HR@10,ci95,NDCG@10,coverage,diversity,novelty
popularity,0.011407902058987202,0.0034719902290206257,0.0049858355855579425,0.003549003549003549,0.4918334037811808,8.911204354388069
als,0.014468558708959377,0.0039040458766442295,0.007005287204634118,0.2457002457002457,0.4704020088771747,10.778160906197767
content,0.06622148024485253,0.008129960149104904,0.0428131448984672,0.8315588315588316,0.2802973799034331,12.236059677238675
two_tower,0.06816917084028937,0.008240044899531236,0.044506550448970776,0.9352989352989353,0.4183019650618053,12.493185342181636
sasrec,0.0765164162493044,0.008690783583299671,0.05054548242732228,0.8353808353808354,0.4678616723088205,11.630571202187772
item_item,0.07707289927657207,0.008719700785794619,0.05134219723214715,0.8626808626808626,0.45582113963913823,11.270769222853696
lgbm_ranker,0.08625486922648859,0.009178493048633477,0.056845560900638914,0.8918918918918919,0.4436917974218171,11.634283150901428
hybrid_rrf_weighted,0.1018363939899833,0.00988772246641905,0.06415645908546912,0.8482118482118483,0.4335925141738134,11.111778341863285
