model,HR@10,Recall@10,Precision@10,NDCG@10,catalog_coverage,eval_seconds
popularity,0.0114079020589872,0.0114079020589872,0.0011407902058987,0.0049858355855579,0.0035490035490035,2.9
item_item,0.0748469671675013,0.0748469671675013,0.0074846967167501,0.0497398789772285,0.8891618891618892,0.2
als,0.0144685587089593,0.0144685587089593,0.0014468558708959,0.0070052872046341,0.2457002457002457,1.1
rrf_hybrid,0.0651085141903172,0.0651085141903172,0.0065108514190317,0.042430163961088,0.6797706797706797,5.2
content_bge,0.06622148024485253,0.06622148024485253,0.006622148024485253,0.042706437851291267,0.8323778323778324,2.5
