model,HR@10,Recall@10,Precision@10,NDCG@10,catalog_coverage,eval_seconds
popularity,0.011407902058987202,0.011407902058987202,0.00114079020589872,0.0049858355855579425,0.003549003549003549,3.4
item_item,0.07707289927657207,0.07707289927657207,0.007707289927657206,0.051193734951495824,0.88998088998089,0.2
als,0.014468558708959377,0.014468558708959377,0.0014468558708959378,0.007005287204634118,0.2457002457002457,1.2
rrf_hybrid,0.0651085141903172,0.0651085141903172,0.00651085141903172,0.043192087215440954,0.7128037128037128,5.7
